B2	12735839.641697444	3569541.6792381005
B4	12735841.095465828	3569541.6792381005
B6	12735842.549234211	3569541.6792381005
B8	12735844.003002595	3569541.6792381005
B10	12735845.456770979	3569541.6792381005
B12	12735846.910539363	3569541.6792381005
B14	12735848.364307746	3569541.6792381005
B16	12735849.818076130	3569541.6792381005
B18	12735851.271844514	3569541.6792381005
B20	12735852.725612897	3569541.6792381005
B22	12735854.179381281	3569541.6792381005
B24	12735855.633149665	3569541.6792381005
B25	12735855.633149665	3569542.5527470623
B26	12735855.633149665	3569543.4262560241
B27	12735855.633149665	3569544.2997649859
B29	12735857.086918049	3569541.6792381005
B31	12735858.540686432	3569541.6792381005
B33	12735859.99445483	3569541.6792381005
B1	12735839.641697444	3569540.8057291387
B3	12735841.095465828	3569540.8057291387
B5	12735842.549234211	3569540.8057291387
B7	12735844.003002595	3569540.8057291387
B9	12735845.456770979	3569540.8057291387
B11	12735846.910539363	3569540.8057291387
B13	12735848.364307746	3569540.8057291387
B15	12735849.818076130	3569540.8057291387
B17	12735851.271844514	3569540.8057291387
B19	12735852.725612897	3569540.8057291387
B21	12735854.179381281	3569540.8057291387
B23	12735855.633149665	3569540.8057291387
B28	12735857.086918049	3569540.8057291387
B30	12735858.540686432	3569540.8057291387
B32	12735859.99445483	3569540.8057291387
B36	12735861.304475147	3569541.338391225
B39	12735862.300063582	3569541.338391225
B42	12735863.295652017	3569541.338391225
B45	12735864.291240452	3569541.338391225
B48	12735865.286828887	3569541.338391225
B51	12735866.282417322	3569541.338391225
B54	12735867.278005756	3569541.338391225
B35	12735861.304475147	3569540.30088332375
B38	12735862.300063582	3569540.30088332375
B41	12735863.295652017	3569540.30088332375
B44	12735864.291240452	3569540.30088332375
B47	12735865.286828887	3569540.30088332375
B50	12735866.282417322	3569540.30088332375
B53	12735867.278005756	3569540.30088332375
B34	12735861.304475147	3569539.2633754225
B37	12735862.300063582	3569539.2633754225
B40	12735863.295652017	3569539.2633754225
B43	12735864.291240452	3569539.2633754225
B46	12735865.286828887	3569539.2633754225
B49	12735866.282417322	3569539.2633754225
B52	12735867.278005756	3569539.2633754225
A1	12735845.564255483	3569543.2078787843
A3	12735847.192442536	3569543.2078787843
A5	12735848.820629590	3569543.2078787843
A7	12735850.448816642	3569543.2078787843
A9	12735852.077003695	3569543.2078787843
A11	12735853.705190746	3569543.2078787843
A2	12735845.564255483	3569544.391651189
A4	12735847.192442536	3569544.391651189
A6	12735848.820629590	3569544.391651189
A8	12735850.448816642	3569544.391651189
A10	12735852.077003695	3569544.391651189
A12	12735853.705190746	3569544.391651189
D4	12735846.345878258	3569539.604654316
D3	12735846.345878258	3569538.27983239023
D2	12735846.345878258	3569536.95501046446
D1	12735846.345878258	3569535.6301885387
D8	12735848.071058337	3569539.604654316
D7	12735848.071058337	3569538.27983239023
D6	12735848.071058337	3569536.95501046446
D5	12735848.071058337	3569535.6301885387
E1	12735849.184782185	3569538.905847146
E4	12735850.058291085	3569539.604654316
E3	12735850.058291085	3569538.27983239023
E2	12735850.058291085	3569536.95501046446
E7	12735851.783471164	3569539.604654316
E6	12735851.783471164	3569538.27983239023
E5	12735851.783471164	3569536.95501046446
C2	12735861.493112957	3569545.215946007
C4	12735863.124057496	3569545.215946007
C6	12735864.755002035	3569545.215946007
C1	12735861.493112957	3569543.16188996
C3	12735863.124057496	3569543.16188996
C5	12735864.755002035	3569543.16188996
