A1	12735846.035610850	3569542.4814482774
A6	12735846.959110850	3569542.4814482774
A11	12735847.882610850	3569542.4814482774
A16	12735848.806110850	3569542.4814482774
A21	12735849.729610850	3569542.4814482774
A26	12735850.653110849	3569542.4814482774
A31	12735851.576610848	3569542.4814482774
A36	12735852.500110848	3569542.4814482774
A41	12735853.423610847	3569542.4814482774
A46	12735854.347396620	3569542.4814482774
A2	12735846.035610850	3569543.3049068854
A7	12735846.959110850	3569543.3049068854
A12	12735847.882610850	3569543.3049068854
A17	12735848.806110850	3569543.3049068854
A22	12735849.729610850	3569543.3049068854
A27	12735850.653110849	3569543.3049068854
A32	12735851.576610848	3569543.3049068854
A37	12735852.500110848	3569543.3049068854
A42	12735853.423610847	3569543.3049068854
A47	12735854.347396620	3569543.3049068854
A3	12735846.035610850	3569544.1283654930
A8	12735846.959110850	3569544.1283654930
A13	12735847.882610850	3569544.1283654930
A18	12735848.806110850	3569544.1283654930
A23	12735849.729610850	3569544.1283654930
A28	12735850.653110849	3569544.1283654930
A33	12735851.576610848	3569544.1283654930
A38	12735852.500110848	3569544.1283654930
A43	12735853.423610847	3569544.1283654930
A48	12735854.347396620	3569544.1283654930
A4	12735846.035610850	3569544.9518241007
A9	12735846.959110850	3569544.9518241007
A14	12735847.882610850	3569544.9518241007
A19	12735848.806110850	3569544.9518241007
A24	12735849.729610850	3569544.9518241007
A29	12735850.653110849	3569544.9518241007
A34	12735851.576610848	3569544.9518241007
A39	12735852.500110848	3569544.9518241007
A44	12735853.423610847	3569544.9518241007
A49	12735854.347396620	3569544.9518241007
A5	12735846.035610850	3569545.7752827094
A10	12735846.959110850	3569545.7752827094
A15	12735847.882610850	3569545.7752827094
A20	12735848.806110850	3569545.7752827094
A25	12735849.729610850	3569545.7752827094
A30	12735850.653110849	3569545.7752827094
A35	12735851.576610848	3569545.7752827094
A40	12735852.500110848	3569545.7752827094
A45	12735853.423610847	3569545.7752827094
A50	12735854.347396620	3569545.7752827094

